Gene_Symbol	Gene_Id	Disease_Id	Psychiatric_disorder	Pubmed_Id	Association_Type	Sentence
TRPC7	57113	C0005586	Bipolar disorders and related disorders	11690598	Association	Reduced <span class=gene id=11690598-5-8-13>TRPC7</span> gene expression may be a trait associated with pathophysiological disturbances of Ca(2+) homeostasis in a subgroup of <span class=disease id=11690598-5-132-134>BD</span>-I patients.
TRPC7	57113	C0853193	Bipolar disorders and related disorders	11690598	Association	Reduced <span class=gene id=11690598-5-8-13>TRPC7</span> gene expression may be a trait associated with pathophysiological disturbances of Ca(2+) homeostasis in a subgroup of <span class=disease id=11690598-5-132-134>BD</span>-I patients.
BCL2	596	C0005586	Bipolar disorders and related disorders	21320251	Association	<span class=gene id=21320251-9-0-5>Bcl-2</span> mRNA and protein levels were lowest in <span class=disease id=21320251-9-45-49>BD-I</span> G/G patients.
BCL2	596	C0853193	Bipolar disorders and related disorders	21320251	Association	<span class=gene id=21320251-9-0-5>Bcl-2</span> mRNA and protein levels were lowest in <span class=disease id=21320251-9-45-49>BD-I</span> G/G patients.
BCL9	607	C0005586	Bipolar disorders and related disorders	21383261	Association	These findings indicate that common variations in the <span class=gene id=21383261-14-54-58>BCL9</span> gene confer risk of schizophrenia and may also be associated with <span class=disease id=21383261-14-125-141>bipolar disorder</span> and major depressive disorder in the Chinese Han population.
NOD2	64127	C0005586	Bipolar disorders and related disorders	25053139	Association	Genetic association between a 'standing' variant of <span class=gene id=25053139-0-52-56>NOD2</span> and <span class=disease id=25053139-0-61-77>bipolar disorder</span>.
SST	6750	C0005586	Bipolar disorders and related disorders	24674775	Association	We report reductions in <span class=gene id=24674775-3-24-36>somatostatin</span> and vasoactive intestinal peptide mRNAs in prefrontal and orbitofrontal cortices in <span class=disease id=24674775-3-121-137>bipolar disorder</span> (n=31) and schizophrenia (n=35) compared to controls (n=34) and increased calbindin mRNA in schizophrenia.
TLR2	7097	C0005586	Bipolar disorders and related disorders	24882191	Association	Our data suggest the potential role of <span class=gene id=24882191-10-39-43>TLR2</span> genetic variants in the pathogen-mediated susceptibility to <span class=disease id=24882191-10-104-106>BD</span>.
XBP1	7494	C0005586	Bipolar disorders and related disorders	18771604	Association	Induction of the spliced form of <span class=gene id=18771604-4-33-37>XBP1</span> as well as total <span class=gene id=18771604-4-55-59>XBP1</span> by thapsigargin was significantly attenuated in patients with <span class=disease id=18771604-4-122-124>BD</span>.
CACNB2	783	C0005586	Bipolar disorders and related disorders	24581832	Association	Combined analysis with independent replication samples further supported the association of rs11013860 in <span class=gene id=24581832-10-106-112>CACNB2</span> with <span class=disease id=24581832-10-118-120>BP</span> subtype I (P=1?ù10(-6)).
PALB2	79728	C0005586	Bipolar disorders and related disorders	20872766	Association	Our findings support <span class=gene id=20872766-9-21-26>PALB2</span> and BRCA2 as risk genes specifically for <span class=disease id=20872766-9-68-70>BD</span>, and suggest that altered DNA repair related to neurogenesis may be involved in <span class=disease id=20872766-9-151-153>BD</span> pathophysiology.
CBS	875	C0005586	Bipolar disorders and related disorders	24577139	Association	These results are the first suggesting a possible association between T833C polymorphism (rs5742905) of the <span class=gene id=24577139-9-108-111>CBS</span> gene and <span class=disease id=24577139-9-121-137>bipolar disorder</span>.
TOMM40	10452	C0041696	Depressive disorders	24549102	Association	<span class=gene id=24549102-0-0-6>TOMM40</span> rs2075650 may represent a new candidate gene for vulnerability to <span class=disease id=24549102-0-73-98>major depressive disorder</span>.
TOMM40	10452	C1269683	Depressive disorders	24549102	Association	<span class=gene id=24549102-0-0-6>TOMM40</span> rs2075650 may represent a new candidate gene for vulnerability to <span class=disease id=24549102-0-73-98>major depressive disorder</span>.
STIP1	10963	C0011581	Depressive disorders	20410598	Association	Since both <span class=gene id=20410598-5-11-16>StIP1</span> and Socs3 regulate the activity of Stat3 gene, these results suggest that Stat3 systems may be involved in the pathogenesis of <span class=disease id=20410598-5-144-164>depressive disorders</span>.
R3HDML	140902	C0086132	Depressive disorders	22220189	Association	Namely, <span class=gene id=22220189-9-8-14>R3HDML</span> and C20orf39 are significantly associated with <span class=disease id=22220189-9-62-81>depressive symptoms</span> of schizophrenia (P(emp)&lt;2?ù10??) based on the minimum P-value and truncated-product methods, respectively.
PRIMA1	145270	C0041696	Depressive disorders	22511943	Association	Ten of 17 regions for which validation was attempted showed true DNAm differences; the greatest were in <span class=gene id=22511943-7-104-110>PRIMA1</span>, with 12-15% increased DNAm in <span class=disease id=22511943-7-142-145>MDD</span> (p = 0.0002-0.0003), and a concomitant decrease in gene expression.
PRIMA1	145270	C1269683	Depressive disorders	22511943	Association	Ten of 17 regions for which validation was attempted showed true DNAm differences; the greatest were in <span class=gene id=22511943-7-104-110>PRIMA1</span>, with 12-15% increased DNAm in <span class=disease id=22511943-7-142-145>MDD</span> (p = 0.0002-0.0003), and a concomitant decrease in gene expression.
FREM3	166752	C0041696	Depressive disorders	22337703	Association	The combined effect of the EHD3 and <span class=gene id=22337703-8-36-41>FREM3</span> genes may play an important role in developing <span class=disease id=22337703-8-89-92>MDD</span>.
FREM3	166752	C1269683	Depressive disorders	22337703	Association	The combined effect of the EHD3 and <span class=gene id=22337703-8-36-41>FREM3</span> genes may play an important role in developing <span class=disease id=22337703-8-89-92>MDD</span>.
ENPEP	2028	C0041696	Depressive disorders	23794217	Association	By applying the ICSNPathway analysis to the MDD GWAS data, 21 candidate SNPs, 16 genes that included ATF7IP, ANPEP, PRDM1, ZBTB32, MMP8, and <span class=gene id=23794217-7-141-146>ENPEP</span>, and 5 pathways that involved negative regulation of transcription and nucleic acid metabolism were identified that may contribute to <span class=disease id=23794217-7-281-284>MDD</span> susceptibility.
ENPEP	2028	C1269683	Depressive disorders	23794217	Association	By applying the ICSNPathway analysis to the MDD GWAS data, 21 candidate SNPs, 16 genes that included ATF7IP, ANPEP, PRDM1, ZBTB32, MMP8, and <span class=gene id=23794217-7-141-146>ENPEP</span>, and 5 pathways that involved negative regulation of transcription and nucleic acid metabolism were identified that may contribute to <span class=disease id=23794217-7-281-284>MDD</span> susceptibility.
MYT1L	23040	C0041696	Depressive disorders	21048971	Association	Common SNPs in <span class=gene id=21048971-0-15-49>myelin transcription factor 1-like</span> (<span class=gene id=21048971-0-51-56>MYT1L</span>): association with <span class=disease id=21048971-0-76-101>major depressive disorder</span> in the Chinese Han population.
MYT1L	23040	C1269683	Depressive disorders	21048971	Association	Common SNPs in <span class=gene id=21048971-0-15-49>myelin transcription factor 1-like</span> (<span class=gene id=21048971-0-51-56>MYT1L</span>): association with <span class=disease id=21048971-0-76-101>major depressive disorder</span> in the Chinese Han population.
ANPEP	290	C0041696	Depressive disorders	23794217	Association	Five of 16 candidate genes are known to be associated with inflammatory or immune response that may be associated with <span class=disease id=23794217-6-119-122>MDD</span>: <span class=gene id=23794217-6-124-129>ANPEP</span>, PRDM1, ZBTB32, MMP8, and ENPEP.
ANPEP	290	C1269683	Depressive disorders	23794217	Association	Five of 16 candidate genes are known to be associated with inflammatory or immune response that may be associated with <span class=disease id=23794217-6-119-122>MDD</span>: <span class=gene id=23794217-6-124-129>ANPEP</span>, PRDM1, ZBTB32, MMP8, and ENPEP.
HP1BP3	50809	C0221074	Depressive disorders	23689534	Association	Using the combined mouse and human data, we identified two biomarker loci at the <span class=gene id=23689534-7-81-87>HP1BP3</span> and TTC9B genes that predicted <span class=disease id=23689534-7-119-122>PPD</span> with an area under the receiver operator characteristic (ROC) curve (area under the curve (AUC)) of 0.87 in antenatally euthymic women and 0.12 in a replication sample of antenatally depressed women.
PROK2	60675	C0041696	Depressive disorders	20471630	Association	Based on LPS-stimulated blood gene expression using whole-genome microarrays (primary cohort; 21 MDD patients, 21 healthy control subjects), we identified a set of genes (CAPRIN1, CLEC4A, KRT23, MLC1, PLSCR1, <span class=gene id=20471630-5-209-214>PROK2</span>, ZBTB16) that serves as a molecular signature of <span class=disease id=20471630-5-264-267>MDD</span>.
PROK2	60675	C1269683	Depressive disorders	20471630	Association	Based on LPS-stimulated blood gene expression using whole-genome microarrays (primary cohort; 21 MDD patients, 21 healthy control subjects), we identified a set of genes (CAPRIN1, CLEC4A, KRT23, MLC1, PLSCR1, <span class=gene id=20471630-5-209-214>PROK2</span>, ZBTB16) that serves as a molecular signature of <span class=disease id=20471630-5-264-267>MDD</span>.
TEF	7008	C0041696	Depressive disorders	24581835	Association	Cry1 and <span class=gene id=24581835-0-9-12>Tef</span> gene polymorphisms are associated with <span class=disease id=24581835-0-52-77>major depressive disorder</span> in the Chinese population.
TEF	7008	C1269683	Depressive disorders	24581835	Association	Cry1 and <span class=gene id=24581835-0-9-12>Tef</span> gene polymorphisms are associated with <span class=disease id=24581835-0-52-77>major depressive disorder</span> in the Chinese population.
CAT	847	C0041696	Depressive disorders	24967945	Association	Likewise, the gene expression of oxidative defence enzymes superoxide dismutases (SOD1 and SOD2), <span class=gene id=24967945-9-98-106>catalase</span> (<span class=gene id=24967945-9-108-111>CAT</span>) and glutathione peroxidase (GPX1) were significantly lower in oligodendrocytes from <span class=disease id=24967945-9-197-200>MDD</span> as compared to control donors.
CAT	847	C1269683	Depressive disorders	24967945	Association	Likewise, the gene expression of oxidative defence enzymes superoxide dismutases (SOD1 and SOD2), <span class=gene id=24967945-9-98-106>catalase</span> (<span class=gene id=24967945-9-108-111>CAT</span>) and glutathione peroxidase (GPX1) were significantly lower in oligodendrocytes from <span class=disease id=24967945-9-197-200>MDD</span> as compared to control donors.
GALR2	8811	C0011581	Depressive disorders	18554714	Association	The present findings are consistent with a predicted antidepressant-like effect of GalR2 signaling, suggesting that <span class=gene id=18554714-10-116-121>GalR2</span> might be a valid drug target for <span class=disease id=18554714-10-155-175>depressive disorders</span>.
GALR2	8811	C0041696	Depressive disorders	21672612	Association	These results may contribute to the understanding of the pathophysiology of <span class=disease id=21672612-6-76-101>major depressive disorder</span> and the role of <span class=gene id=21672612-6-118-123>GalR2</span> in the regulation of mood, and suggest a potential therapeutic effect by targeting the <span class=gene id=21672612-6-211-216>GalR2</span> for treatment of <span class=disease id=21672612-6-234-254>depressive disorders</span>.
GALR2	8811	C1269683	Depressive disorders	21672612	Association	These results may contribute to the understanding of the pathophysiology of <span class=disease id=21672612-6-76-101>major depressive disorder</span> and the role of <span class=gene id=21672612-6-118-123>GalR2</span> in the regulation of mood, and suggest a potential therapeutic effect by targeting the <span class=gene id=21672612-6-211-216>GalR2</span> for treatment of <span class=disease id=21672612-6-234-254>depressive disorders</span>.
GALR2	8811	C0011581	Depressive disorders	21672612	Association	These results may contribute to the understanding of the pathophysiology of <span class=disease id=21672612-6-76-101>major depressive disorder</span> and the role of <span class=gene id=21672612-6-118-123>GalR2</span> in the regulation of mood, and suggest a potential therapeutic effect by targeting the <span class=gene id=21672612-6-211-216>GalR2</span> for treatment of <span class=disease id=21672612-6-234-254>depressive disorders</span>.
CCKAR	886	C0041696	Depressive disorders	15927089	Association	Haplotype analysis revealed <span class=gene id=15927089-6-28-33>CCKAR</span> haplotypes to be associated with <span class=disease id=15927089-6-67-70>MDD</span> (global p=0.004).
CCKAR	886	C1269683	Depressive disorders	15927089	Association	Haplotype analysis revealed <span class=gene id=15927089-6-28-33>CCKAR</span> haplotypes to be associated with <span class=disease id=15927089-6-67-70>MDD</span> (global p=0.004).
FOXP2	93986	C0041696	Depressive disorders	22404659	Association	<span class=gene id=22404659-0-0-5>FoxP2</span> is significantly associated with schizophrenia and <span class=disease id=22404659-0-57-73>major depression</span> in the Chinese Han population.
FOXP2	93986	C1269683	Depressive disorders	22404659	Association	<span class=gene id=22404659-0-0-5>FoxP2</span> is significantly associated with schizophrenia and <span class=disease id=22404659-0-57-73>major depression</span> in the Chinese Han population.
IKBKE	9641	C0041696	Depressive disorders	19786281	Association	<span class=gene id=19786281-6-0-5>IKBKE</span> emerged as a candidate for further studies of genetic factors associated with panic disorder and <span class=disease id=19786281-6-103-128>major depressive disorder</span>.
IKBKE	9641	C1269683	Depressive disorders	19786281	Association	<span class=gene id=19786281-6-0-5>IKBKE</span> emerged as a candidate for further studies of genetic factors associated with panic disorder and <span class=disease id=19786281-6-103-128>major depressive disorder</span>.
SETDB1	9869	C0178417	Depressive disorders	20505083	Association	Here, we report that transgenic mice with increased <span class=gene id=20505083-2-52-58>Setdb1</span> expression in adult forebrain neurons show antidepressant-like phenotypes in behavioral paradigms for <span class=disease id=20505083-2-161-170>anhedonia</span>, despair, and learned helplessness.
SDCCAG8	10806	C0036341	Schizophrenia spectrum and other psychotic disorders	22614287	Association	After combining the new schizophrenia data with those of the PGC, variants at three loci (ITIH3/4, CACNA1C and <span class=gene id=22614287-5-111-118>SDCCAG8</span>) that had not previously been GWS in <span class=disease id=22614287-5-156-169>schizophrenia</span> attained that level of support.
ADM	133	C0036341	Schizophrenia spectrum and other psychotic disorders	15194870	Association	Our data support that <span class=gene id=15194870-5-22-25>ADM</span> may be associated with the pathophysiology of <span class=disease id=15194870-5-72-85>schizophrenia</span>, although the cause of the association needs further study.
ADORA2A	135	C0036341	Schizophrenia spectrum and other psychotic disorders	24433848	Association	Reduced striatal <span class=gene id=24433848-0-17-39>adenosine A2A receptor</span> levels define a molecular subgroup in <span class=disease id=24433848-0-78-91>schizophrenia</span>.
B3GAT2	135152	C0036341	Schizophrenia spectrum and other psychotic disorders	20950796	Association	Five single nucleotide polymorphisms (SNPs), located in two adjacent estimated linkage disequilibrium blocks in the first intron of <span class=gene id=20950796-6-132-161>?-1,3-glucuronyltransferase 2</span> (<span class=gene id=20950796-6-163-169>B3GAT2</span>), were nominally associated with <span class=disease id=20950796-6-203-206>SCZ</span> (.004 ? P(empirical) ? .05).
CYP2E1	1571	C0036341	Schizophrenia spectrum and other psychotic disorders	22606226	Association	Our results suggest that <span class=gene id=22606226-10-25-31>CYP2E1</span> may be a potential risk gene for <span class=disease id=22606226-10-65-78>schizophrenia</span> in the Chinese Han population.
DCC	1630	C0036341	Schizophrenia spectrum and other psychotic disorders	22418395	Association	We examined single nucleotide polymorphisms (SNPs) located in the <span class=gene id=22418395-7-66-69>DCC</span> gene for association with <span class=disease id=22418395-7-96-109>schizophrenia</span> using a case-control sample consisting of 556 unrelated schizophrenic patients and 208 healthy controls.
DLG3	1741	C0036341	Schizophrenia spectrum and other psychotic disorders	15054476	Association	In the present study, we used in situ hybridization to measure the expression of NMDA subunits (NR1, NR2A-D), and associated intracellular proteins (NF-L, PSD95, and <span class=gene id=15054476-2-166-172>SAP102</span>) in a second, younger cohort from the Stanley Foundation Neuropathology Consortium, which included patients with both <span class=disease id=15054476-2-291-304>schizophrenia</span> and affective disorders.
DLG3	1741	C0036341	Schizophrenia spectrum and other psychotic disorders	16023328	Association	We found decreased striatal expression of transcripts encoding PSD-95 and <span class=gene id=16023328-6-74-81>SAP-102</span> in bipolar disorder and of <span class=gene id=16023328-6-109-116>SAP-102</span> in major depression and <span class=disease id=16023328-6-141-154>schizophrenia</span>, while no significant changes in NF--L and PSD-93 mRNAs were observed.
JAG1	182	C0036341	Schizophrenia spectrum and other psychotic disorders	20580881	Association	<span class=gene id=20580881-11-0-4>JAG1</span> expression was significantly increased in <span class=disease id=20580881-11-47-49>SZ</span> and exhibited positive correlations with mediators of the canonical Notch pathway but negative correlations with mature Ol genes.
EGR3	1960	C0036341	Schizophrenia spectrum and other psychotic disorders	22276163	Association	In summary, our study supports the association of <span class=gene id=22276163-9-50-54>EGR3</span> with <span class=disease id=22276163-9-60-73>schizophrenia</span> in our Han Chinese sample, and further functional exploration of the <span class=gene id=22276163-9-143-147>EGR3</span> gene will contribute to the molecular basis for the complex network underlying <span class=disease id=22276163-9-227-240>schizophrenia</span> pathogenesis.
SP8	221833	C0349204	Schizophrenia spectrum and other psychotic disorders	23967141	Association	Although the association of rs2709722 in <span class=gene id=23967141-10-41-65>Sp8 transcription factor</span> (<span class=gene id=23967141-10-67-70>SP8</span>) was suggestive in the Asian population (P?=?2.1?ù10(-7) for <span class=disease id=23967141-10-131-140>psychosis</span>), this signal weakened when the samples size was increased by including data from a Caucasian population (P?=?4.3?ù10(-3)).
SP8	221833	C0033975	Schizophrenia spectrum and other psychotic disorders	23967141	Association	Although the association of rs2709722 in <span class=gene id=23967141-10-41-65>Sp8 transcription factor</span> (<span class=gene id=23967141-10-67-70>SP8</span>) was suggestive in the Asian population (P?=?2.1?ù10(-7) for <span class=disease id=23967141-10-131-140>psychosis</span>), this signal weakened when the samples size was increased by including data from a Caucasian population (P?=?4.3?ù10(-3)).
FGFR2	2263	C0036341	Schizophrenia spectrum and other psychotic disorders	18813210	Association	The SNP maps 85 kb from the nearest gene encoding <span class=gene id=18813210-6-50-85>fibroblast growth factor receptor 2</span> (<span class=gene id=18813210-6-87-92>FGFR2</span>) making this a potential susceptibility gene for <span class=disease id=18813210-6-142-155>schizophrenia</span>.
FGFR2	2263	C0349204	Schizophrenia spectrum and other psychotic disorders	19570652	Association	The current study examines a transgenic th(tk-)/th(tk-) mouse model with <span class=gene id=19570652-3-73-85>FGF receptor</span> signaling disruption targeted to dopamine (DA) neurons, resulting in neurodevelopmental, anatomical, and biochemical alterations similar to those observed in human <span class=disease id=19570652-3-250-263>schizophrenia</span>.
FGFR2	2263	C0033975	Schizophrenia spectrum and other psychotic disorders	19570652	Association	The current study examines a transgenic th(tk-)/th(tk-) mouse model with <span class=gene id=19570652-3-73-85>FGF receptor</span> signaling disruption targeted to dopamine (DA) neurons, resulting in neurodevelopmental, anatomical, and biochemical alterations similar to those observed in human <span class=disease id=19570652-3-250-263>schizophrenia</span>.
FGFR2	2263	C0036341	Schizophrenia spectrum and other psychotic disorders	19570652	Association	The current study examines a transgenic th(tk-)/th(tk-) mouse model with <span class=gene id=19570652-3-73-85>FGF receptor</span> signaling disruption targeted to dopamine (DA) neurons, resulting in neurodevelopmental, anatomical, and biochemical alterations similar to those observed in human <span class=disease id=19570652-3-250-263>schizophrenia</span>.
ACSL6	23305	C0036341	Schizophrenia spectrum and other psychotic disorders	18718982	Association	Further analysis using haplotypes demonstrated that a haplotype block spanning PDZ-GEF2, LOC728637 and <span class=gene id=18718982-8-103-108>ACSL6</span> is highly associated with <span class=disease id=18718982-8-135-148>schizophrenia</span> and several haplotypes in this haploblock have about twofold to 10-fold increase in the affected subjects.
FMR1	2332	C0036341	Schizophrenia spectrum and other psychotic disorders	23778581	Association	We observed multiple statistically significant mRNA and protein changes in levels of GABR?, GABR?2, mGluR5 and <span class=gene id=23778581-7-111-115>FMRP</span> molecules including concordant reductions in mRNA and proteins for GABR? and mGluR5 in lateral cerebella of subjects with <span class=disease id=23778581-7-238-251>schizophrenia</span>; for increased mRNA and protein for GABR?2 in lateral cerebella of subjects with bipolar disorder; and for reduced mRNA and protein for mGluR5 in BA9 of subjects with bipolar disorder.
ADNP	23394	C0036341	Schizophrenia spectrum and other psychotic disorders	24365867	Association	<span class=gene id=24365867-7-0-4>ADNP</span> haploinsufficiency in mice, which results in age-related neuronal death, cognitive and social dysfunction, exhibited reduced hippocampal beclin1 and increased Bcl2 expression (mimicking <span class=disease id=24365867-7-191-204>schizophrenia</span> and normal human aging).
ALOX12	239	C0036341	Schizophrenia spectrum and other psychotic disorders	20626912	Association	Consequently, we suggest that SNPs of the <span class=gene id=20626912-9-42-48>ALOX12</span> gene might be associated with <span class=disease id=20626912-9-79-92>schizophrenia</span> and negative symptoms in this Korean population.
GABRA1	2554	C0036341	Schizophrenia spectrum and other psychotic disorders	16172613	Association	Interestingly, the <span class=gene id=16172613-10-19-25>GABRA1</span> coexpressed genes include synaptic and vesicle-associated genes previously found altered in <span class=disease id=16172613-10-118-131>schizophrenia</span> prefrontal cortex.
GABRA1	2554	C0036341	Schizophrenia spectrum and other psychotic disorders	21677653	Association	Selective pyramidal cell reduction of <span class=gene id=21677653-0-38-57>GABA(A) receptor ?1</span> subunit messenger RNA expression in <span class=disease id=21677653-0-94-107>schizophrenia</span>.
GABRA5	2558	C0036341	Schizophrenia spectrum and other psychotic disorders	11287792	Association	Association between <span class=gene id=11287792-0-20-43>GABA-A receptor alpha 5</span> subunit gene locus and <span class=disease id=11287792-0-67-80>schizophrenia</span> of a later age of onset.
GABRB3	2562	C0036341	Schizophrenia spectrum and other psychotic disorders	22414661	Association	These results provide additional evidence that <span class=gene id=22414661-7-47-53>GABRB3</span> and MAOB/NDP gene regions might constitute risk factors for hallucinations and delusions in <span class=disease id=22414661-7-146-159>schizophrenia</span>.
GRIA2	2891	C0036341	Schizophrenia spectrum and other psychotic disorders	18184693	Association	They include the calcium sensor gene visinin-like 1 (VSNL1) and the ionotropic AMPA glutamate receptor subunit (<span class=gene id=18184693-4-112-117>GRIA2</span>), which were found to be down-regulated in the same cortical tissue from the <span class=disease id=18184693-4-195-208>schizophrenia</span> group.
GRIK3	2899	C0033975	Schizophrenia spectrum and other psychotic disorders	19022628	Association	A possible association between <span class=disease id=19022628-0-31-44>schizophrenia</span> and <span class=gene id=19022628-0-49-54>GRIK3</span> polymorphisms in a multicenter sample of Scandinavian origin (SCOPE).
GRIK3	2899	C0036341	Schizophrenia spectrum and other psychotic disorders	19022628	Association	A possible association between <span class=disease id=19022628-0-31-44>schizophrenia</span> and <span class=gene id=19022628-0-49-54>GRIK3</span> polymorphisms in a multicenter sample of Scandinavian origin (SCOPE).
GRIK3	2899	C0036341	Schizophrenia spectrum and other psychotic disorders	19921975	Association	Our study suggests a potential role for <span class=gene id=19921975-6-40-45>GRIK3</span> for susceptibility to <span class=disease id=19921975-6-68-81>schizophrenia</span> in Indian population.
GRIK3	2899	C0036341	Schizophrenia spectrum and other psychotic disorders	19995671	Association	On the other hand, the subgroups of <span class=disease id=19995671-8-36-49>schizophrenia</span> patients did not show a significant association with the GRIK3 (<span class=gene id=19995671-8-114-119>T928G</span>) gene.
GRIN2A	2903	C0036341	Schizophrenia spectrum and other psychotic disorders	18585682	Association	However, compared with the normal control subjects and subjects with bipolar disorder, the density of CB+/<span class=gene id=18585682-6-106-110>NR2A</span>+ neurons in layer 2 was increased by 41% to 44 % in subjects with <span class=disease id=18585682-6-177-190>schizophrenia</span>, whereas the amount of NR2A mRNA/CB+ neurons was unchanged.
GRIN2A	2903	C0036341	Schizophrenia spectrum and other psychotic disorders	22833210	Association	Here, we identified two de novo mutations in patients with sporadic <span class=disease id=22833210-4-68-71>SCZ</span> in <span class=gene id=22833210-4-75-81>GRIN2A</span> and one de novo mutation in GRIN2B in a patient with ASD.
GRIN2A	2903	C0036341	Schizophrenia spectrum and other psychotic disorders	25958346	Association	<span class=gene id=25958346-10-0-6>GRIN2A</span> (<span class=gene id=25958346-10-8-10>GT</span>)21 may play a significant role in the etiology of <span class=disease id=25958346-10-61-74>schizophrenia</span> among the Chinese Han population of Shaanxi.
HAGH	3029	C0036341	Schizophrenia spectrum and other psychotic disorders	25645869	Association	We detected a nominally significant association with <span class=disease id=25645869-5-53-66>schizophrenia</span> (p=0.020) of rs11859266, a SNP in the intronic region of <span class=gene id=25645869-5-124-128>HAGH</span>.
HDAC1	3065	C0036341	Schizophrenia spectrum and other psychotic disorders	17961987	Association	<span class=gene id=17961987-3-0-5>HDAC1</span> expression levels were significantly higher in <span class=disease id=17961987-3-53-66>schizophrenia</span> versus normal subjects.
HSPA1B	3304	C0036341	Schizophrenia spectrum and other psychotic disorders	15963589	Association	These results suggest that a <span class=gene id=15963589-8-29-35>HSPA1B</span> polymorphism might be related to the pathogenesis of <span class=disease id=15963589-8-89-102>schizophrenia</span> at least in the Korean population.
HSPA1L	3305	C0036341	Schizophrenia spectrum and other psychotic disorders	18299791	Association	Association between the three polymorphisms of HSP70-1 (HSPA1A), <span class=gene id=18299791-3-65-74>HSP70-hom</span> (<span class=gene id=18299791-3-76-82>HSPA1L</span>) and HSP70-2 (HSPA1B) and <span class=disease id=18299791-3-109-122>schizophrenia</span> has been reported.
HTR4	3360	C0036341	Schizophrenia spectrum and other psychotic disorders	12898568	Association	We therefore hypothesized that variation in the <span class=gene id=12898568-3-48-55>5-HT(4)</span> receptor gene (<span class=gene id=12898568-3-71-75>HTR4</span>) modifies genetic susceptibility to <span class=disease id=12898568-3-112-125>schizophrenia</span>.
IL12B	3593	C0036341	Schizophrenia spectrum and other psychotic disorders	18588591	Association	Therefore, in the present study, we aimed to examine polymorphic variants of <span class=gene id=18588591-6-77-83>IL-12B</span> (<span class=gene id=18588591-6-85-88>p40</span>) gene promoter region in patients with <span class=disease id=18588591-6-128-141>schizophrenia</span> in a population of the Elazig Region of East Anatolia, Turkey.
